,country,Date,t_3,t_2,t_1,arrival
248,36,31/12/2016,7.57,7.87,7.94,10.01
249,36,31/12/2017,7.87,7.94,10.01,12.92
250,36,31/12/2018,7.94,10.01,12.92,15.5
251,36,31/12/2019,10.01,12.92,15.5,18.01
252,37,31/12/2013,7.5,7.61,7.94,8.02
253,37,31/12/2014,7.61,7.94,8.02,8.44
254,37,31/12/2015,7.94,8.02,8.44,9.33
255,37,31/12/2016,8.02,8.44,9.33,10.22
256,37,31/12/2017,8.44,9.33,10.22,10.93
257,37,31/12/2018,9.33,10.22,10.93,11.72
258,37,31/12/2019,10.22,10.93,11.72,12.82
259,38,31/12/2013,7.13,7.63,7.55,8.26
260,38,31/12/2014,7.63,7.55,8.26,8.81
261,38,31/12/2015,7.55,8.26,8.81,9.53
262,38,31/12/2016,8.26,8.81,9.53,10.1
263,38,31/12/2017,8.81,9.53,10.1,10.34
264,38,31/12/2018,9.53,10.1,10.34,10.93
265,38,31/12/2019,10.1,10.34,10.93,10.95
266,39,31/12/2013,1.33,1.46,1.53,12.58
267,39,31/12/2014,1.46,1.53,12.58,11.56
268,39,31/12/2015,1.53,12.58,11.56,14.94
269,39,31/12/2016,12.58,11.56,14.94,17.38
270,39,31/12/2017,11.56,14.94,17.38,15.41
271,39,31/12/2018,14.94,17.38,15.41,2.26
272,39,31/12/2019,17.38,15.41,2.26,8.72
273,40,31/12/2013,5.18,11.57,12.37,10.98
274,40,31/12/2014,11.57,12.37,10.98,10.52
275,40,31/12/2015,12.37,10.98,10.52,6.48
276,40,31/12/2016,10.98,10.52,6.48,6.78
277,40,31/12/2017,10.52,6.48,6.78,7.05
278,40,31/12/2018,6.48,6.78,7.05,7.44
279,40,31/12/2019,6.78,7.05,7.44,7.62
280,41,31/12/2013,5.78,6.31,6.58,6.97
281,41,31/12/2014,6.31,6.58,6.97,7.68
282,41,31/12/2015,6.58,6.97,7.68,8.03
283,41,31/12/2016,6.97,7.68,8.03,8.8
284,41,31/12/2017,7.68,8.03,8.8,10.04
285,41,31/12/2018,8.03,8.8,10.04,10.56
286,41,31/12/2019,8.8,10.04,10.56,10.93
287,42,31/12/2013,7.19,7.49,7.56,7.68
288,42,31/12/2014,7.49,7.56,7.68,7.89
289,42,31/12/2015,7.56,7.68,7.89,8.36
290,42,31/12/2016,7.68,7.89,8.36,7.48
291,42,31/12/2017,7.89,8.36,7.48,8.39
292,42,31/12/2018,8.36,7.48,8.39,9.12
293,42,31/12/2019,7.48,8.39,9.12,9.34
294,43,31/12/2013,8.55,7.98,7.9,7.68
295,43,31/12/2014,7.98,7.9,7.68,7.8
296,43,31/12/2015,7.9,7.68,7.8,7.85
297,43,31/12/2016,7.68,7.8,7.85,8.03
298,43,31/12/2017,7.8,7.85,8.03,8.15
299,43,31/12/2018,7.85,8.03,8.15,8.33
300,43,31/12/2019,8.03,8.15,8.33,8.24
301,44,31/12/2013,5.67,5.88,6.13,6.24
302,44,31/12/2014,5.88,6.13,6.24,5.38
303,44,31/12/2015,6.13,6.24,5.38,4.39
304,44,31/12/2016,6.24,5.38,4.39,10.94
305,44,31/12/2017,5.38,4.39,10.94,11.06
306,44,31/12/2018,4.39,10.94,11.06,11.5
307,44,31/12/2019,10.94,11.06,11.5,11.83
308,45,31/12/2013,5.79,5.77,6.03,6.48
309,45,31/12/2014,5.77,6.03,6.48,6.92
